ROM loaded successfully. size of ROM is 1301 bytes.
---LOG START---
IR: JP 22D | I: 0x465 | SP: 0 | V: 20 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x465 | SP: 0 | V: 20 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x465 | SP: 0 | V: 20 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x46D | SP: 0 | V: 20 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x46D | SP: 0 | V: 20 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x46D | SP: 0 | V: 20 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x46D | SP: 0 | V: 20 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x46D | SP: 0 | V: 20 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x475 | SP: 0 | V: 20 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x475 | SP: 0 | V: 20 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x475 | SP: 0 | V: 20 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x475 | SP: 0 | V: 20 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x475 | SP: 0 | V: 20 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x47D | SP: 0 | V: 20 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x47D | SP: 0 | V: 20 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V0, 08 | I: 0x47D | SP: 0 | V: 28 20 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: LD V1, 00 | I: 0x47D | SP: 0 | V: 28 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V0, 40 | I: 0x47D | SP: 0 | V: 28 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x47D | SP: 0 | V: 28 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x47D | SP: 0 | V: 28 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x47D | SP: 0 | V: 28 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x485 | SP: 0 | V: 28 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x485 | SP: 0 | V: 28 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x485 | SP: 0 | V: 28 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x485 | SP: 0 | V: 28 08 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x485 | SP: 0 | V: 28 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD I, V2 | I: 0x48D | SP: 0 | V: 28 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: SE V1, 20 | I: 0x48D | SP: 0 | V: 28 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: JP 22D | I: 0x48D | SP: 0 | V: 28 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: DRW V0, V1, 8 | I: 0x48D | SP: 0 | V: 28 10 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
IR: ADD V1, 08 | I: 0x48D | SP: 0 | V: 28 18 08 00 00 00 00 00 00 00 00 00 00 00 00 00 
